Industry,Value added
"Agriculture, forestry, fishing, and hunting",1.1
Mining,1.4
Utilities,1.6
Construction,4.1
Manufacturing,12
Wholesale trade,6
Retail trade,5.9
Transportation and warehousing,2.9
Information,4.9
"Finance, insurance, real estate, rental, and leasing",20.3
Professional and business services,12.3
"Educational services, health care, and social assistance",8.4
"Arts, entertainment, recreation, accommodation, and food services",4
"Other services, except government",2.2
Federal,4
State and local,8.8
